edad,sexo,periodo,total
70 y más años,Hombres,2017T4,"0,90"
70 y más años,Hombres,2017T3,"0,61"
70 y más años,Hombres,2017T2,"0,00"
70 y más años,Hombres,2017T1,"1,41"
70 y más años,Hombres,2016T4,"2,80"
70 y más años,Hombres,2016T3,"4,11"
70 y más años,Hombres,2016T2,"2,69"
70 y más años,Hombres,2016T1,"5,82"
70 y más años,Hombres,2015T4,"2,01"
70 y más años,Hombres,2015T3,"2,34"
70 y más años,Hombres,2015T2,"3,23"
70 y más años,Hombres,2015T1,"0,00"
70 y más años,Hombres,2014T4,"3,89"
70 y más años,Hombres,2014T3,"3,56"
70 y más años,Hombres,2014T2,"3,11"
70 y más años,Hombres,2014T1,"0,00"
70 y más años,Hombres,2013T4,"0,62"
70 y más años,Hombres,2013T3,"1,20"
70 y más años,Hombres,2013T2,"0,00"
70 y más años,Hombres,2013T1,"0,00"
70 y más años,Hombres,2012T4,"0,00"
70 y más años,Hombres,2012T3,"0,00"
70 y más años,Hombres,2012T2,"0,00"
70 y más años,Hombres,2012T1,"0,66"
70 y más años,Hombres,2011T4,"0,00"
70 y más años,Hombres,2011T3,"2,27"
70 y más años,Hombres,2011T2,"2,03"
70 y más años,Hombres,2011T1,"5,16"
70 y más años,Hombres,2010T4,"2,95"
70 y más años,Hombres,2010T3,"2,31"
70 y más años,Hombres,2010T2,"0,00"
70 y más años,Hombres,2010T1,"0,00"
70 y más años,Mujeres,2023T4,..
70 y más años,Mujeres,2023T3,"9,17"
70 y más años,Mujeres,2023T2,"3,46"
70 y más años,Mujeres,2023T1,..
70 y más años,Mujeres,2022T4,"1,48"
70 y más años,Mujeres,2022T3,"1,35"
70 y más años,Mujeres,2022T2,"3,51"
70 y más años,Mujeres,2022T1,"4,59"
70 y más años,Mujeres,2021T4,..
70 y más años,Mujeres,2021T3,..
70 y más años,Mujeres,2021T2,"6,63"
70 y más años,Mujeres,2021T1,"0,50"
70 y más años,Mujeres,2020T4,"0,00"
70 y más años,Mujeres,2020T3,"4,52"
70 y más años,Mujeres,2020T2,"0,00"
70 y más años,Mujeres,2020T1,"1,97"
70 y más años,Mujeres,2019T4,"0,00"
70 y más años,Mujeres,2019T3,"0,00"
70 y más años,Mujeres,2019T2,"0,00"
70 y más años,Mujeres,2019T1,"0,46"
70 y más años,Mujeres,2018T4,"1,49"
70 y más años,Mujeres,2018T3,"1,27"
70 y más años,Mujeres,2018T2,"2,12"
70 y más años,Mujeres,2018T1,"1,25"
70 y más años,Mujeres,2017T4,"4,71"
70 y más años,Mujeres,2017T3,"3,28"
70 y más años,Mujeres,2017T2,"3,40"
70 y más años,Mujeres,2017T1,"0,00"
70 y más años,Mujeres,2016T4,"4,12"
70 y más años,Mujeres,2016T3,"1,64"
70 y más años,Mujeres,2016T2,"2,50"
70 y más años,Mujeres,2016T1,"2,39"
70 y más años,Mujeres,2015T4,"2,62"
70 y más años,Mujeres,2015T3,"0,00"
70 y más años,Mujeres,2015T2,"0,00"
70 y más años,Mujeres,2015T1,"0,00"
70 y más años,Mujeres,2014T4,"0,00"
70 y más años,Mujeres,2014T3,"2,93"
70 y más años,Mujeres,2014T2,"3,38"
70 y más años,Mujeres,2014T1,"0,00"
70 y más años,Mujeres,2013T4,"8,13"
70 y más años,Mujeres,2013T3,"0,00"
70 y más años,Mujeres,2013T2,"0,00"
70 y más años,Mujeres,2013T1,"0,93"
70 y más años,Mujeres,2012T4,"3,02"
70 y más años,Mujeres,2012T3,"0,00"
70 y más años,Mujeres,2012T2,"0,31"
70 y más años,Mujeres,2012T1,"6,63"
70 y más años,Mujeres,2011T4,"0,00"
70 y más años,Mujeres,2011T3,"0,00"
70 y más años,Mujeres,2011T2,"6,66"
70 y más años,Mujeres,2011T1,"0,40"
70 y más años,Mujeres,2010T4,"0,00"
70 y más años,Mujeres,2010T3,"0,00"
70 y más años,Mujeres,2010T2,"1,70"
70 y más años,Mujeres,2010T1,"0,00"
